date,entity,count
2020-01-03,china,0
2020-01-03,the_chinese_new_year,0
2020-01-03,uygur,0
2020-01-03,state,0
2020-01-03,chinese_new_year,0
2020-01-03,the_chinese_consulate,0
2020-01-03,fda,0
2020-01-03,locsin,0
2020-01-03,un,0
2020-01-03,joko_widodo,0
2020-01-03,italian,0
2020-01-03,dfa,0
2020-01-03,donald_trump,0
2020-01-03,zhou_youbin,0
2020-01-03,sinovac_biotech_ltd,0
2020-01-03,washington,0
2020-01-03,pakistan,0
2020-01-03,european,0
2020-01-03,pfizer,0
2020-01-03,western,0
2020-01-03,singapore,0
2020-01-03,rodrigo_duterte,0
2020-01-03,russia,0
2020-01-03,astrazeneca,0
2020-01-03,serbia,0
2020-01-03,brazilian,0
2020-01-03,the_national_health_commission,0
2020-01-03,eu,0
2020-01-03,rcep,0
2020-01-03,serbian,0
2020-01-03,france,0
2020-01-03,aiib,0
2020-01-03,taiwan,0
2020-01-03,nhc,0
2020-01-03,the_communist_party_of_china,0
2020-01-03,li_keqiang,0
2020-01-03,the_state_council,0
2020-01-03,the_united_arab_emirates,0
2020-01-03,america,0
2020-01-03,romana,0
2020-01-03,fdi,0
2020-01-03,colombia,0
2020-01-03,francisco_duque_iii,0
2020-01-03,australia,0
2020-01-03,china_international_import_expo,0
2020-01-03,cdc,0
2020-01-03,brics,0
2020-01-03,bri,0
2020-01-03,argentina,0
2020-01-03,pilipinas,0
2020-01-03,npc,0
2020-01-03,morocco,0
2020-01-03,medical_center,0
2020-01-03,cold_war,0
2020-01-03,bbc,0
2020-01-03,indonesian,0
2020-01-03,cebu,0
2020-01-03,americans,0
2020-01-03,state_council_information_office,0
2020-01-03,zhong_nanshan,0
2020-01-03,covax,0
2020-01-03,the_south_china_sea,0
2020-01-03,embassy,0
2020-01-03,chinese_state_councilor,0
2020-01-03,sinovac_biotech,0
2020-01-03,coronavac,0
2020-01-03,pompeo,0
2020-01-03,trump,0
2020-01-03,turkey,0
2020-01-03,asean,0
2020-01-03,filipino,0
2020-01-03,brazil,0
2020-01-03,sinopharm,0
2020-01-03,indonesia,0
2020-01-03,huang,0
2020-01-03,manila,0
2020-01-03,beijing,0
2020-01-03,wuhan,0
2020-01-03,chinese_embassy,0
2020-01-03,wang_yi,0
2020-01-03,hong_kong,0
2020-01-03,xinjiang,0
2020-01-03,huang_xilian,1
2020-01-03,sinovac,0
2020-01-03,xi_jinping,0
2020-01-03,us,0
2020-01-03,philippines,0
2020-01-03,laoag,0
2020-01-03,duterte,0
2020-01-03,huawei,0
2020-01-03,chinese,0
2020-01-03,hungary,0
2020-01-03,europe,0
2020-01-03,houston,0
2020-01-03,ilocos_norte,0
2020-01-03,foreign_ministry,0
2020-01-03,italy,0
2020-01-03,chile,0
2020-01-03,peru,0
2020-01-03,shanghai,0
2020-01-03,hubei,0
2020-01-03,cpc,0
2020-01-03,turkish,0
2020-01-03,tiktok,0
2020-01-03,simone,0
2020-01-03,asian,0
2020-01-03,teodoro_locsin,0
2020-01-03,thailand,0
2020-01-03,uae,0
2020-01-03,doh,0
2020-01-03,american,0
2020-01-03,filipinos,0
2020-01-03,mexico,0
2020-01-03,egypt,0
